Grade,Surface,Defect Type,Defect,Min Width,Max Width,Min Length,Max Length,Min Contrast,Min Area Pixel,uid
BP,A,damaged,crack,,,,,,,41e7d0f5-ad38-439c-9eb4-6d3d93dfaa59
BP,A,damaged,missingpart,,,,,,,3cc28284-1c96-4f0f-a74b-1dae868da6cf
BP,A,deep scratch,dent,0.0375,,2,,18,600,941db4a2-6f63-413f-9189-c007bbc4dc01
BP,A,deep scratch,nick,0.0375,,2,,18,600,f09147da-07ef-4469-866a-5a7753b7512e
BP,A,deep scratch,scratch,0.0375,,2,,18,600,ae089eaf-e5a1-4957-b0d7-86e4fe1306cd
BP,B,major,dent,0.8,,1,,16,800,6d1d2360-d6ef-4868-ab89-f80530bc248e
BP,B,major,nick,0.8,,1,,16,800,55cd70a5-1913-460d-a680-b4b9409f70f4
BP,B,major,scratch,0.8,,1,,16,800,1d0347bc-d9e1-4d86-8577-93f2a8f9ff41
BP,B,minor,dent,,,,,,,312500fc-f727-4db1-9620-8c8895a8b309
BP,B,minor,nick,,,,,,,5ce09dfc-4485-4643-8213-f2b5f782d7aa
BP,B,minor,pindot,,,,,,,bf973d45-736d-40a6-b0ad-7c850bc54d87
BP,B,minor,scratch,,,,,,,90eb644a-6174-4876-81c8-ed3380149688
BP,B,minor,grouppindot,,,,,,,27faa9ed-bb3a-4e56-9e15-8d5ced493605
BP,B,minor,differentscreen,,,,,,,774f2c2e-9692-4fcd-ab25-091e673b99c4
BP,B,damaged,crack,,,,,,,8d3eac8a-34ad-4794-b140-2e22ffd831ac
BP,B,damaged,missingpart,,,,,,,93992432-4c89-4647-a527-014daacb3a63
BP,B,deep scratch,dent,0.0375,,2,,22,600,07f3884f-d920-42d3-a347-1cc66fe0c513
BP,B,deep scratch,nick,0.0375,,2,,22,600,f8df59d8-fce3-4445-9ef5-1915030d53b8
BP,B,deep scratch,scratch,0.0375,,2,,22,600,944dc6d3-6a8e-4213-a5e3-2b8e828dacd3
BP,B,discoloration,discoloration,,,,,,,8d0851c6-b39b-4488-832c-411ccf14e942
BP,C,major,dent,,1,,20,,,cba71d09-c1a4-4f25-85d1-9b6d82b71b5a
BP,C,major,nick,,1,,20,,,a9329b1a-a656-462c-9f91-5f831bb477e7
BP,C,major,pindot,,,,,,,bd18380c-e4fe-40c0-baf8-11511a3e768f
BP,C,major,scratch,,1,,20,,,af3006b1-c5dd-451a-a755-45502bbd7f6f
BP,C,minor,dent,,0.8,,20,,,beb66302-05f9-4efc-a192-a105d48db517
BP,C,minor,nick,,0.8,,20,,,005628eb-eb94-4b10-b4ce-eb00b7de18d6
BP,C,minor,scratch,,0.8,,20,,,ac6ee895-6d5e-4672-93b9-02525169a5a9
BP,C,damaged,crack,,,,,,,e79b814f-7bbd-48c8-8c32-9096a4d6650d
BP,C,damaged,missingpart,,,,,,,4bf3ad6a-cb99-4494-8b4f-fdda3ec6e9bc
BP,C,discoloration,discoloration,,,,,,,e3c11a6c-56d6-4b63-acfb-18fba990772d
BP,D,major,dent,,1,,20,,,6443cb01-621d-47e4-8c82-729d0185ad32
BP,D,major,nick,,1,,20,,,dd5d249a-de8c-4f2d-a620-f5600aff3ba0
BP,D,major,pindot,,,,,,,8c534d9c-bc5f-49ac-968d-68aac9915328
BP,D,major,scratch,,1,,20,,,4379d764-4811-4efe-9721-294905a7762d
BP,D,minor,dent,,0.8,,20,,,49ac8e37-3150-45d7-9bdd-4c13f2e14c08
BP,D,minor,nick,,0.8,,20,,,3cbe1a44-8880-47c4-9580-63414a059296
BP,D,minor,scratch,,0.8,,20,,,f8374cb5-457b-4246-a2b5-0d59d32112ee
BP,D,damaged,crack,,,,,,,27fbb08c-17bc-4ce7-977e-b2db761685f8
BP,D,damaged,missingpart,,,,,,,5eed58c5-fc5b-4cd2-9b51-88aa60ca8e26
BP,D,discoloration,discoloration,,,,,,,f25a8457-0e13-4b84-a0ec-ff08838ff104
BP,AA,major,dent,0.9,,1,,16,800,7077b734-87e0-4fb4-9340-d41efa6809b2
BP,AA,major,nick,0.8,,1,,16,800,a76153d5-9895-4b59-b529-715392d96ae3
BP,AA,major,scratch,0.3,,1,,99,630,ef76b768-e13b-4985-b014-5679bbf73c8d
BP,AA,minor,dent,,,,,,,5770661d-715c-4a65-ab89-5fa7b813eddf
BP,AA,minor,nick,,,,,,,3ea5c2a2-0366-45a4-90d2-37d7e2faf31b
BP,AA,minor,pindot,,,,,,,6219b775-3456-497f-95b1-0446398de5ea
BP,AA,minor,scratch,,,,,,,64801047-3bc1-4079-9882-fe02401ad2cc
BP,AA,minor,grouppindot,,,,,,,620f7bdb-8682-4973-977c-ab9967574faa
BP,AA,minor,discoloration,,,,,,,93fa0bc9-a8c6-4714-b02f-9733f1686dfb
BP,AA,minor,differentscreen,,,,,,,18770358-0269-4a00-93da-5e007b6862ea
BP,AA,damaged,crack,,,,,,,1e734cdf-b4c7-419b-84b2-b3c414311cca
BP,AA,damaged,missingpart,,,,,,,d0e13575-79ac-44dd-94a9-1c54bf36f113
BP,AA,deep scratch,dent,0.15,,1.6,,21,500,035c7edc-1b85-4a0f-b36b-94f622c19531
BP,AA,deep scratch,nick,0.15,,1.6,,21,500,d6d1d721-0e49-43df-b948-760590f6289e
BP,AA,deep scratch,scratch,0.4,,1.6,,21.5,700,825d2a36-e821-4795-aacf-7882753defe4
